,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Flexen, Chris's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,104,100.0%,71.2%,59.6%,12.5%,26.9%,20.2%,39.4%,17.6%,16.3%,75.0%,42.3%,103.8%,0.0%,0.0%
"Gott, Trevor's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,104,100.0%,66.3%,51.9%,15.4%,29.8%,23.1%,45.2%,23.2%,20.2%,73.3%,46.2%,88.5%,0.0%,0.0%
"Machado, Andres's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,104,100.0%,48.1%,43.3%,6.7%,43.3%,24.0%,50.0%,14.0%,27.9%,35.7%,38.5%,119.2%,0.0%,0.0%
"Taillon, Jameson's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,104,100.0%,70.2%,64.4%,6.7%,23.1%,27.9%,29.8%,9.6%,18.3%,16.7%,41.3%,100.0%,0.0%,0.0%
"Iglesias, Raisel's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,103,100.0%,69.9%,53.4%,18.4%,27.2%,28.2%,45.6%,26.4%,12.6%,61.8%,57.3%,81.6%,0.0%,0.0%
"Oviedo, Johan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,103,100.0%,74.8%,65.0%,9.7%,23.3%,32.0%,33.0%,13.0%,20.4%,21.9%,53.4%,69.9%,0.0%,0.0%
"Payamps, Joel's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,103,100.0%,62.1%,54.4%,8.7%,34.0%,16.5%,42.7%,14.1%,17.5%,54.8%,47.6%,86.4%,0.0%,0.0%
"Sampson, Adrian's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,103,100.0%,66.0%,61.2%,5.8%,32.0%,25.2%,37.9%,8.8%,21.4%,26.1%,45.6%,91.3%,0.0%,0.0%
"Trivino, Lou's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,103,100.0%,66.0%,57.3%,8.7%,29.1%,29.1%,37.9%,13.2%,18.4%,43.8%,51.5%,88.3%,0.0%,0.0%
"Baz, Shane's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,102,100.0%,61.8%,52.9%,8.8%,32.4%,27.5%,41.2%,14.3%,23.5%,31.6%,49.0%,79.4%,0.0%,0.0%
"Cimber, Adam's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,102,100.0%,83.3%,66.7%,19.6%,13.7%,40.2%,33.3%,23.5%,5.9%,50.0%,39.2%,88.2%,0.0%,0.0%
"Goudeau, Ashton's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,102,100.0%,77.5%,67.6%,10.8%,22.5%,32.4%,33.3%,13.9%,19.6%,26.3%,46.1%,94.1%,0.0%,0.0%
"Kinley, Tyler's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,102,100.0%,72.5%,49.0%,25.5%,21.6%,27.5%,47.1%,35.1%,11.8%,55.6%,50.0%,81.4%,0.0%,0.0%
"Thompson, Ryan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,102,100.0%,60.8%,46.1%,14.7%,33.3%,20.6%,48.0%,24.2%,12.7%,60.6%,54.9%,86.3%,0.0%,0.0%
"Thornburg, Tyler's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,102,100.0%,70.6%,62.7%,10.8%,22.5%,27.5%,33.3%,15.3%,21.6%,31.0%,48.0%,89.2%,0.0%,0.0%
"Woodruff, Brandon's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,102,100.0%,40.2%,36.3%,5.9%,56.9%,17.6%,62.7%,14.6%,51.0%,38.9%,51.0%,70.6%,0.0%,0.0%
"Cessa, Luis's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,101,100.0%,55.4%,48.5%,8.9%,41.6%,19.8%,50.5%,16.1%,26.7%,66.7%,43.6%,78.2%,0.0%,0.0%
"Feltner, Ryan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,101,100.0%,61.4%,53.5%,7.9%,36.6%,22.8%,44.6%,12.9%,19.8%,40.7%,48.5%,89.1%,0.0%,0.0%
"Keller, Mitch's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,101,100.0%,53.5%,50.5%,3.0%,42.6%,17.8%,45.5%,5.6%,29.7%,47.4%,46.5%,99.0%,0.0%,0.0%
"Lugo, Seth's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,101,100.0%,57.4%,55.4%,3.0%,40.6%,23.8%,43.6%,5.2%,18.8%,36.4%,46.5%,75.2%,0.0%,0.0%
"Nelson, Kyle's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,101,100.0%,59.4%,54.5%,6.9%,34.7%,28.7%,41.6%,11.7%,26.7%,20.0%,56.4%,78.2%,0.0%,0.0%
"Quintana, José's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,101,100.0%,82.2%,67.3%,15.8%,16.8%,23.8%,32.7%,19.3%,15.8%,64.0%,34.7%,143.6%,0.0%,0.0%
"Thompson, Keegan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,101,100.0%,60.4%,55.4%,5.0%,35.6%,19.8%,40.6%,8.2%,24.8%,56.7%,47.5%,99.0%,0.0%,0.0%
"Alexander, Tyler's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,100,100.0%,61.0%,52.0%,11.0%,36.0%,25.0%,47.0%,18.0%,35.0%,35.7%,45.0%,93.0%,0.0%,0.0%
"Long, Sam's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,100,100.0%,83.0%,63.0%,21.0%,15.0%,27.0%,36.0%,25.3%,7.0%,31.4%,50.0%,83.0%,0.0%,0.0%
"Long, Sam's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,100,100.0%,49.0%,43.0%,6.0%,45.0%,17.0%,51.0%,12.2%,27.0%,40.0%,56.0%,64.0%,0.0%,0.0%
"Norwood, James's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,100,100.0%,76.0%,65.0%,13.0%,17.0%,40.0%,30.0%,17.1%,22.0%,20.0%,38.0%,92.0%,0.0%,0.0%
"Peters, Dillon's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,100,100.0%,58.0%,54.0%,4.0%,38.0%,26.0%,42.0%,6.9%,21.0%,36.4%,58.0%,78.0%,0.0%,0.0%
"Valdez, Framber's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,100,100.0%,63.0%,56.0%,7.0%,30.0%,24.0%,37.0%,11.1%,19.0%,35.3%,52.0%,75.0%,0.0%,0.0%
"Castillo, Diego's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,99,100.0%,70.7%,65.7%,8.1%,27.3%,31.3%,35.4%,11.4%,23.2%,28.6%,48.5%,81.8%,0.0%,0.0%
"Chafin, Andrew's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,99,100.0%,57.6%,51.5%,7.1%,38.4%,24.2%,45.5%,12.3%,24.2%,40.0%,48.5%,89.9%,0.0%,0.0%
"Cobb, Alex's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,99,100.0%,40.4%,32.3%,8.1%,55.6%,11.1%,63.6%,20.0%,53.5%,12.5%,53.5%,75.8%,0.0%,0.0%
"Danish, Tyler's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,99,100.0%,52.5%,44.4%,8.1%,42.4%,17.2%,50.5%,15.4%,17.2%,51.6%,45.5%,87.9%,0.0%,0.0%
"Hughes, Brandon's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,99,100.0%,63.6%,48.5%,15.2%,32.3%,22.2%,47.5%,23.8%,22.2%,71.9%,43.4%,101.0%,0.0%,0.0%
"Lambert, Jimmy's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,99,100.0%,78.8%,61.6%,20.2%,19.2%,36.4%,39.4%,25.6%,19.2%,47.8%,47.5%,87.9%,0.0%,0.0%
"Marinaccio, Ron's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,99,100.0%,68.7%,54.5%,16.2%,28.3%,32.3%,44.4%,23.5%,19.2%,40.0%,45.5%,88.9%,0.0%,0.0%
"Otto, Glenn's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,99,100.0%,64.6%,60.6%,4.0%,34.3%,24.2%,38.4%,6.3%,26.3%,31.0%,47.5%,82.8%,0.0%,0.0%
"White, Mitch's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,99,100.0%,78.8%,67.7%,14.1%,20.2%,31.3%,34.3%,17.9%,15.2%,69.7%,62.6%,72.7%,0.0%,0.0%
"Bruihl, Justin's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,98,100.0%,77.6%,62.2%,18.4%,20.4%,29.6%,38.8%,23.7%,21.4%,29.4%,46.9%,76.5%,0.0%,0.0%
"Gott, Trevor's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,98,100.0%,65.3%,51.0%,16.3%,28.6%,32.7%,44.9%,25.0%,15.3%,44.7%,51.0%,76.5%,0.0%,0.0%
"Helsley, Ryan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,98,100.0%,71.4%,54.1%,18.4%,23.5%,32.7%,41.8%,25.7%,18.4%,76.5%,57.1%,72.4%,0.0%,0.0%
"Jiménez, Joe's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,98,100.0%,64.3%,48.0%,17.3%,33.7%,24.5%,51.0%,27.0%,31.6%,96.0%,46.9%,87.8%,0.0%,0.0%
"Kolarek, Adam's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,98,100.0%,62.2%,58.2%,3.1%,32.7%,27.6%,35.7%,4.9%,20.4%,25.0%,48.0%,85.7%,0.0%,0.0%
"Schreiber, John's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,98,100.0%,56.1%,46.9%,12.2%,41.8%,21.4%,54.1%,21.8%,22.4%,66.7%,52.0%,77.6%,0.0%,0.0%
"Smith, Joe's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,98,100.0%,69.4%,61.2%,8.2%,27.6%,21.4%,35.7%,11.8%,24.5%,37.5%,41.8%,93.9%,0.0%,0.0%
"Adam, Jason's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,97,100.0%,69.1%,52.6%,17.5%,27.8%,24.7%,45.4%,25.4%,18.6%,48.6%,58.8%,75.3%,0.0%,0.0%
"Castellanos, Humberto's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,97,100.0%,70.1%,64.9%,6.2%,25.8%,29.9%,32.0%,8.8%,12.4%,27.8%,50.5%,81.4%,0.0%,0.0%
"Chacín, Jhoulys's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,97,100.0%,76.3%,61.9%,15.5%,22.7%,23.7%,38.1%,20.3%,17.5%,55.6%,52.6%,88.7%,0.0%,0.0%
"Hicks, Jordan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,97,100.0%,54.6%,38.1%,17.5%,43.3%,21.6%,60.8%,32.1%,19.6%,89.2%,50.5%,90.7%,0.0%,0.0%
"Leiter Jr., Mark's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,97,100.0%,56.7%,51.5%,7.2%,37.1%,25.8%,44.3%,12.7%,21.6%,46.7%,55.7%,75.3%,0.0%,0.0%
"Mahle, Tyler's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,97,100.0%,62.9%,48.5%,14.4%,37.1%,21.6%,51.5%,23.0%,33.0%,65.0%,43.3%,99.0%,0.0%,0.0%
"Snead, Kirby's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,97,100.0%,52.6%,48.5%,3.1%,39.2%,19.6%,42.3%,5.9%,26.8%,25.0%,41.2%,87.6%,0.0%,0.0%
"Stephens, Jackson's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,97,100.0%,57.7%,50.5%,9.3%,39.2%,23.7%,48.5%,16.1%,35.1%,30.6%,52.6%,68.0%,0.0%,0.0%
"Stratton, Chris's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,97,100.0%,59.8%,52.6%,7.2%,35.1%,17.5%,42.3%,12.1%,20.6%,63.3%,42.3%,96.9%,0.0%,0.0%
"Barlow, Scott's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,96,100.0%,55.2%,43.8%,11.5%,41.7%,18.8%,53.1%,20.8%,19.8%,100.0%,42.7%,102.1%,0.0%,0.0%
"Beasley, Jeremy's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,96,100.0%,81.3%,65.6%,18.8%,16.7%,39.6%,35.4%,23.1%,19.8%,45.8%,49.0%,82.3%,0.0%,0.0%
"Garza Jr., Ralph's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,96,100.0%,59.4%,57.3%,4.2%,36.5%,20.8%,40.6%,7.0%,31.3%,7.7%,49.0%,81.3%,0.0%,0.0%
"Harvey, Hunter's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,96,100.0%,61.5%,53.1%,9.4%,30.2%,30.2%,39.6%,15.3%,25.0%,50.0%,41.7%,79.2%,0.0%,0.0%
"Hearn, Taylor's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,96,100.0%,65.6%,58.3%,9.4%,32.3%,25.0%,41.7%,14.3%,36.5%,36.4%,46.9%,94.8%,0.0%,0.0%
"Lee, Dylan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,96,100.0%,81.3%,54.2%,27.1%,18.8%,22.9%,45.8%,33.3%,15.6%,65.4%,57.3%,76.0%,0.0%,0.0%
"Lemoine, Jacob's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,96,100.0%,56.3%,53.1%,4.2%,40.6%,20.8%,44.8%,7.4%,26.0%,21.1%,54.2%,72.9%,0.0%,0.0%
"Lyles, Jordan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,96,100.0%,59.4%,56.3%,3.1%,35.4%,28.1%,38.5%,5.3%,37.5%,60.0%,43.8%,82.3%,0.0%,0.0%
"Montero, Rafael's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,96,100.0%,57.3%,52.1%,6.3%,41.7%,25.0%,47.9%,10.9%,22.9%,50.0%,49.0%,85.4%,0.0%,0.0%
"Moronta, Reyes's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,96,100.0%,76.0%,66.7%,11.5%,21.9%,35.4%,33.3%,15.1%,24.0%,22.2%,50.0%,77.1%,0.0%,0.0%
"Oller, Adam's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,96,100.0%,71.9%,61.5%,12.5%,21.9%,22.9%,34.4%,17.4%,19.8%,75.0%,49.0%,92.7%,0.0%,0.0%
"García, Jarlín's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,95,100.0%,70.5%,50.5%,20.0%,23.2%,18.9%,43.2%,28.4%,9.5%,57.1%,46.3%,102.1%,0.0%,0.0%
"Hand, Brad's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,95,100.0%,54.7%,46.3%,8.4%,42.1%,21.1%,50.5%,15.4%,22.1%,32.0%,53.7%,61.1%,0.0%,0.0%
"King, Michael's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,95,100.0%,67.4%,51.6%,16.8%,30.5%,21.1%,47.4%,25.0%,20.0%,84.0%,45.3%,94.7%,0.0%,0.0%
"Koenig, Jared's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,95,100.0%,63.2%,57.9%,5.3%,32.6%,25.3%,37.9%,8.3%,24.2%,21.4%,44.2%,81.1%,0.0%,0.0%
"Martinez, Nick's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,95,100.0%,44.2%,42.1%,2.1%,49.5%,16.8%,51.6%,4.8%,42.1%,56.3%,51.6%,75.8%,0.0%,0.0%
"Merryweather, Julian's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,95,100.0%,80.0%,73.7%,8.4%,17.9%,35.8%,26.3%,10.5%,18.9%,22.2%,50.5%,72.6%,0.0%,0.0%
"Rogers, Josh's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,95,100.0%,63.2%,54.7%,9.5%,32.6%,25.3%,42.1%,15.0%,27.4%,22.2%,46.3%,86.3%,0.0%,0.0%
"Steckenrider, Drew's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,95,100.0%,76.8%,65.3%,14.7%,18.9%,37.9%,33.7%,19.2%,20.0%,33.3%,50.5%,81.1%,0.0%,0.0%
"Swarmer, Matt's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,95,100.0%,64.2%,61.1%,4.2%,28.4%,27.4%,32.6%,6.6%,22.1%,54.5%,41.1%,123.2%,0.0%,0.0%
"Warren, Art's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,95,100.0%,56.8%,53.7%,5.3%,30.5%,23.2%,35.8%,9.3%,17.9%,35.3%,48.4%,78.9%,0.0%,0.0%
"Acevedo, Domingo's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,94,100.0%,80.9%,63.8%,17.0%,17.0%,27.7%,34.0%,21.1%,9.6%,32.3%,52.1%,80.9%,0.0%,0.0%
"Alexander, Tyler's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,94,100.0%,66.0%,57.4%,9.6%,30.9%,23.4%,40.4%,14.5%,20.2%,24.1%,45.7%,72.3%,0.0%,0.0%
"Armstrong, Shawn's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,94,100.0%,79.8%,55.3%,28.7%,18.1%,33.0%,46.8%,36.0%,12.8%,53.3%,55.3%,81.9%,0.0%,0.0%
"Ashby, Aaron's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,94,100.0%,35.1%,29.8%,7.4%,62.8%,12.8%,70.2%,21.2%,46.8%,54.5%,55.3%,67.0%,0.0%,0.0%
"Bednar, David's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,94,100.0%,43.6%,31.9%,12.8%,54.3%,14.9%,67.0%,29.3%,39.4%,75.0%,48.9%,83.0%,0.0%,0.0%
"Civale, Aaron's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,94,100.0%,61.7%,45.7%,19.1%,31.9%,24.5%,51.1%,31.0%,14.9%,60.5%,40.4%,107.4%,0.0%,0.0%
"Cole, Gerrit's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,94,100.0%,47.9%,45.7%,2.1%,48.9%,19.1%,51.1%,4.4%,37.2%,57.9%,46.8%,80.9%,0.0%,0.0%
"Contreras, Roansy's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,94,100.0%,70.2%,57.4%,13.8%,23.4%,25.5%,37.2%,19.7%,11.7%,66.7%,41.5%,89.4%,0.0%,0.0%
"Kelly, Joe's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,94,100.0%,57.4%,52.1%,7.4%,38.3%,22.3%,45.7%,13.0%,20.2%,50.0%,46.8%,97.9%,0.0%,0.0%
"Kuhnel, Joel's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,94,100.0%,78.7%,73.4%,6.4%,18.1%,34.0%,24.5%,8.1%,14.9%,19.0%,52.1%,74.5%,0.0%,0.0%
"Lorenzen, Michael's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,94,100.0%,59.6%,46.8%,13.8%,35.1%,22.3%,48.9%,23.2%,34.0%,56.3%,47.9%,79.8%,0.0%,0.0%
"Lugo, Seth's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,94,100.0%,68.1%,55.3%,12.8%,28.7%,23.4%,41.5%,18.8%,25.5%,75.0%,44.7%,97.9%,0.0%,0.0%
"Martin, Brett's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,94,100.0%,61.7%,52.1%,9.6%,37.2%,19.1%,46.8%,15.5%,35.1%,100.0%,56.4%,73.4%,0.0%,0.0%
"Martinez, Seth's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,94,100.0%,67.0%,57.4%,11.7%,30.9%,31.9%,42.6%,17.5%,24.5%,45.5%,57.4%,63.8%,0.0%,0.0%
"Morejon, Adrian's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,94,100.0%,73.4%,59.6%,14.9%,22.3%,29.8%,37.2%,20.3%,20.2%,32.0%,42.6%,83.0%,0.0%,0.0%
"Peguero, Elvis's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,94,100.0%,79.8%,66.0%,14.9%,18.1%,31.9%,33.0%,18.7%,18.1%,29.4%,43.6%,86.2%,0.0%,0.0%
"Peralta, Wily's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,94,100.0%,51.1%,44.7%,7.4%,41.5%,24.5%,48.9%,14.6%,30.9%,50.0%,41.5%,88.3%,0.0%,0.0%
"Smith, Caleb's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,94,100.0%,81.9%,53.2%,28.7%,17.0%,19.1%,45.7%,35.1%,9.6%,50.0%,38.3%,93.6%,0.0%,0.0%
"Sousa, Bennett's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,94,100.0%,72.3%,53.2%,21.3%,24.5%,17.0%,45.7%,29.4%,20.2%,37.9%,47.9%,88.3%,0.0%,0.0%
"Staumont, Josh's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,94,100.0%,61.7%,53.2%,8.5%,33.0%,21.3%,41.5%,13.8%,17.0%,64.3%,47.9%,83.0%,0.0%,0.0%
"Suarez, José's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,94,100.0%,53.2%,47.9%,5.3%,42.6%,27.7%,47.9%,10.0%,50.0%,30.8%,38.3%,81.9%,0.0%,0.0%
"Taylor, Blake's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,94,100.0%,71.3%,62.8%,8.5%,24.5%,30.9%,33.0%,11.9%,17.0%,25.0%,43.6%,94.7%,0.0%,0.0%
"Watkins, Spenser's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,94,100.0%,73.4%,63.8%,9.6%,26.6%,28.7%,36.2%,13.0%,16.0%,36.0%,43.6%,85.1%,0.0%,0.0%
"Yarbrough, Ryan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,94,100.0%,50.0%,43.6%,8.5%,46.8%,22.3%,55.3%,17.0%,36.2%,23.5%,42.6%,85.1%,0.0%,0.0%
"Floro, Dylan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,93,100.0%,57.0%,50.5%,6.5%,40.9%,22.6%,47.3%,11.3%,24.7%,38.1%,47.3%,88.2%,0.0%,0.0%
"Greinke, Zack's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,93,100.0%,61.3%,55.9%,6.5%,34.4%,16.1%,40.9%,10.5%,25.8%,33.3%,62.4%,65.6%,0.0%,0.0%
"Lawrence, Justin's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,93,100.0%,61.3%,52.7%,9.7%,34.4%,26.9%,44.1%,15.8%,19.4%,50.0%,52.7%,83.9%,0.0%,0.0%
"Martinez, Nick's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,93,100.0%,71.0%,66.7%,4.3%,26.9%,26.9%,31.2%,6.1%,18.3%,35.7%,40.9%,115.1%,0.0%,0.0%
"Ort, Kaleb's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,93,100.0%,69.9%,61.3%,11.8%,29.0%,29.0%,40.9%,16.9%,19.4%,25.8%,51.6%,74.2%,0.0%,0.0%
"Peralta, Wily's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,93,100.0%,60.2%,54.8%,5.4%,33.3%,28.0%,38.7%,8.9%,22.6%,18.2%,52.7%,73.1%,0.0%,0.0%
"Richards, Garrett's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,93,100.0%,66.7%,59.1%,9.7%,31.2%,25.8%,40.9%,14.5%,19.4%,14.3%,51.6%,76.3%,0.0%,0.0%
"Schreiber, John's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,93,100.0%,65.6%,51.6%,17.2%,32.3%,17.2%,49.5%,26.2%,16.1%,33.3%,47.3%,87.1%,0.0%,0.0%
"Tepera, Ryan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,93,100.0%,80.6%,66.7%,16.1%,18.3%,25.8%,34.4%,20.0%,22.6%,70.4%,46.2%,87.1%,0.0%,0.0%
"Arano, Víctor's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,92,100.0%,58.7%,58.7%,0.0%,32.6%,25.0%,32.6%,0.0%,32.6%,28.6%,34.8%,116.3%,0.0%,0.0%
"Baker, Bryan's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,92,100.0%,55.4%,51.1%,5.4%,41.3%,18.5%,46.7%,9.8%,29.3%,42.9%,47.8%,88.0%,0.0%,0.0%
"Baz, Shane's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,92,100.0%,69.6%,50.0%,22.8%,28.3%,22.8%,51.1%,32.8%,22.8%,76.0%,41.3%,80.4%,0.0%,0.0%
"Bickford, Phil's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,92,100.0%,77.2%,64.1%,14.1%,21.7%,26.1%,35.9%,18.3%,16.3%,41.7%,41.3%,85.9%,0.0%,0.0%
"Davidson, Tucker's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,92,100.0%,60.9%,55.4%,8.7%,29.3%,21.7%,38.0%,14.3%,18.5%,4.5%,52.2%,79.3%,0.0%,0.0%
"Farmer, Buck's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,92,100.0%,73.9%,58.7%,20.7%,26.1%,33.7%,46.7%,27.9%,28.3%,66.7%,47.8%,91.3%,0.0%,0.0%
"Head, Louis's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,92,100.0%,73.9%,70.7%,6.5%,21.7%,33.7%,28.3%,8.8%,16.3%,30.4%,53.3%,79.3%,0.0%,0.0%
"Heasley, Jonathan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,92,100.0%,77.2%,62.0%,15.2%,19.6%,29.3%,34.8%,19.7%,25.0%,37.5%,42.4%,97.8%,0.0%,0.0%
